x,y,z
-0.044,0.66,-0.68
-0.064,0.662,-0.676
-0.084,0.664,-0.672
-0.104,0.666,-0.668
-0.124,0.668,-0.664
-0.144,0.67,-0.66
-0.164,0.672,-0.656
-0.184,0.674,-0.652
-0.204,0.676,-0.648
-0.224,0.678,-0.644
-0.244,0.68,-0.64
-0.264,0.682,-0.636
-0.284,0.684,-0.632
-0.304,0.686,-0.628
-0.324,0.688,-0.624
-0.344,0.69,-0.62
-0.364,0.692,-0.616
-0.384,0.694,-0.612
-0.404,0.696,-0.608
-0.424,0.698,-0.604
-0.444,0.7,-0.6
-0.464,0.702,-0.596
-0.484,0.704,-0.592
-0.504,0.706,-0.588
-0.524,0.708,-0.584
-0.544,0.71,-0.58
-0.564,0.712,-0.576
-0.584,0.714,-0.572
-0.604,0.716,-0.568
-0.624,0.718,-0.564
-0.644,0.72,-0.56
-0.664,0.722,-0.556
-0.684,0.724,-0.552
-0.704,0.726,-0.548
-0.724,0.728,-0.544
-0.744,0.73,-0.54
-0.764,0.732,-0.536
-0.784,0.734,-0.532
-0.804,0.736,-0.528
-0.824,0.738,-0.524
-0.844,0.74,-0.52
-0.864,0.742,-0.516
-0.884,0.744,-0.512
-0.904,0.746,-0.508
-0.924,0.748,-0.504
-0.944,0.75,-0.5
-0.964,0.752,-0.496
-0.984,0.754,-0.492
-0.981,0.756,-0.488
-0.978,0.758,-0.484
-0.975,0.76,-0.48
-0.972,0.762,-0.476
-0.969,0.764,-0.472
-0.966,0.766,-0.468
-0.963,0.768,-0.464
-0.96,0.77,-0.46
-0.957,0.772,-0.456
-0.954,0.774,-0.452
-0.951,0.776,-0.448
-0.948,0.778,-0.444
-0.945,0.78,-0.44
-0.942,0.782,-0.436
-0.939,0.784,-0.432
-0.936,0.786,-0.428
-0.933,0.788,-0.424
-0.93,0.79,-0.42
-0.927,0.792,-0.416
-0.924,0.794,-0.412
-0.921,0.796,-0.408
-0.918,0.798,-0.404
-0.915,0.8,-0.4
-0.912,0.802,-0.396
-0.909,0.804,-0.392
-0.906,0.806,-0.388
-0.903,0.808,-0.384
-0.9,0.81,-0.38
-0.897,0.812,-0.376
-0.894,0.814,-0.372
-0.891,0.816,-0.368
-0.888,0.818,-0.364
-0.885,0.82,-0.36
-0.882,0.822,-0.356
-0.879,0.824,-0.352
-0.876,0.826,-0.348
-0.873,0.828,-0.344
-0.87,0.83,-0.34
-0.867,0.832,-0.336
-0.864,0.834,-0.332
-0.861,0.836,-0.328
-0.858,0.838,-0.324
-0.855,0.84,-0.32
-0.852,0.842,-0.316
-0.849,0.844,-0.312
-0.846,0.846,-0.308
-0.843,0.848,-0.304
-0.84,0.85,-0.3
-0.837,0.852,-0.296
-0.834,0.854,-0.292
-0.831,0.856,-0.288
-0.828,0.858,-0.284
-0.825,0.86,-0.28
-0.822,0.862,-0.276
-0.819,0.864,-0.272
-0.816,0.866,-0.268
-0.813,0.868,-0.264
-0.81,0.87,-0.26
-0.807,0.872,-0.256
-0.804,0.874,-0.252
-0.801,0.876,-0.248
-0.798,0.878,-0.244
-0.795,0.88,-0.24
-0.792,0.882,-0.236
-0.789,0.884,-0.232
-0.786,0.886,-0.228
-0.783,0.888,-0.224
-0.78,0.89,-0.22
-0.777,0.892,-0.216
-0.774,0.894,-0.212
-0.771,0.896,-0.208
-0.768,0.898,-0.204
-0.765,0.9,-0.2
-0.762,0.902,-0.196
-0.759,0.904,-0.192
-0.756,0.906,-0.188
-0.753,0.908,-0.184
-0.75,0.91,-0.18
-0.747,0.912,-0.176
-0.744,0.914,-0.172
-0.741,0.916,-0.168
-0.738,0.918,-0.164
-0.735,0.92,-0.16
-0.732,0.922,-0.156
-0.729,0.924,-0.152
-0.726,0.926,-0.148
-0.723,0.928,-0.144
-0.72,0.93,-0.14
-0.717,0.932,-0.136
-0.714,0.934,-0.132
-0.711,0.936,-0.128
-0.708,0.938,-0.124
-0.705,0.94,-0.12
-0.702,0.942,-0.116
-0.699,0.944,-0.112
-0.696,0.946,-0.108
-0.693,0.948,-0.104
-0.69,0.95,-0.1
-0.687,0.952,-0.096
-0.684,0.954,-0.092
-0.681,0.956,-0.088
-0.678,0.958,-0.084
-0.675,0.96,-0.08
-0.672,0.962,-0.076
-0.669,0.964,-0.072
-0.666,0.966,-0.068
-0.663,0.968,-0.064
-0.66,0.97,-0.06
-0.657,0.972,-0.056
-0.654,0.974,-0.052
-0.651,0.976,-0.048
-0.648,0.978,-0.044
-0.645,0.98,-0.04
-0.642,0.982,-0.036
-0.639,0.984,-0.032
-0.636,0.986,-0.028
-0.633,0.988,-0.024
-0.63,0.99,-0.02
-0.627,0.992,-0.016
-0.624,0.994,-0.012
-0.621,0.992,-0.008
-0.618,0.99,-0.004
-0.615,0.988,1.7486E-15
-0.612,0.986,0.004
-0.609,0.984,0.008
-0.606,0.982,0.012
-0.603,0.98,0.016
-0.6,0.978,0.02
-0.597,0.976,0.024
-0.594,0.974,0.028
-0.591,0.972,0.032
-0.588,0.97,0.036
-0.585,0.968,0.04
-0.582,0.966,0.044
-0.579,0.964,0.048
-0.576,0.962,0.052
-0.573,0.96,0.056
-0.57,0.958,0.06
-0.567,0.956,0.064
-0.564,0.954,0.068
-0.561,0.952,0.072
-0.558,0.95,0.076
-0.555,0.948,0.08
-0.552,0.946,0.084
-0.549,0.944,0.088
-0.546,0.942,0.092
-0.543,0.94,0.096
-0.54,0.938,0.1
-0.537,0.936,0.104
-0.534,0.934,0.108
-0.531,0.932,0.112
-0.528,0.93,0.116
-0.525,0.928,0.12
-0.522,0.926,0.124
-0.519,0.924,0.128
-0.516,0.922,0.132
-0.513,0.92,0.136
-0.51,0.918,0.14
-0.507,0.916,0.144
-0.504,0.914,0.148
-0.501,0.912,0.152
-0.498,0.91,0.156
-0.495,0.908,0.16
-0.492,0.906,0.164
-0.489,0.904,0.168
-0.486,0.902,0.172
-0.483,0.9,0.176
-0.48,0.898,0.18
-0.477,0.896,0.184
-0.474,0.894,0.188
-0.471,0.892,0.192
-0.468,0.89,0.196
-0.465,0.888,0.2
-0.462,0.886,0.204
-0.459,0.884,0.208
-0.456,0.882,0.212
-0.453,0.88,0.216
-0.45,0.878,0.22
-0.447,0.876,0.224
-0.444,0.874,0.228
-0.441,0.872,0.232
-0.438,0.87,0.236
-0.435,0.868,0.24
-0.432,0.866,0.244
-0.429,0.864,0.248
-0.426,0.862,0.252
-0.423,0.86,0.256
-0.42,0.858,0.26
-0.417,0.856,0.264
-0.414,0.854,0.268
-0.411,0.852,0.272
-0.408,0.85,0.276
-0.405,0.848,0.28
-0.402,0.846,0.284
-0.399,0.844,0.288
-0.396,0.842,0.292
-0.393,0.84,0.296
-0.39,0.838,0.3
-0.387,0.836,0.304
-0.384,0.834,0.308
-0.381,0.832,0.312
-0.378,0.83,0.316
-0.375,0.828,0.32
-0.372,0.826,0.324
-0.369,0.824,0.328
-0.366,0.822,0.332
-0.363,0.82,0.336
-0.36,0.818,0.34
-0.357,0.816,0.344
-0.354,0.814,0.348
-0.351,0.812,0.352
-0.348,0.81,0.356
-0.345,0.808,0.36
-0.342,0.806,0.364
-0.339,0.804,0.368
-0.336,0.802,0.372
-0.333,0.8,0.376
-0.33,0.798,0.38
-0.327,0.796,0.384
-0.324,0.794,0.388
-0.321,0.792,0.392
-0.318,0.79,0.396
-0.315,0.788,0.4
-0.312,0.786,0.404
-0.309,0.784,0.408
-0.306,0.782,0.412
-0.303,0.78,0.416
-0.3,0.778,0.42
-0.297,0.776,0.424
-0.294,0.774,0.428
-0.291,0.772,0.432
-0.288,0.77,0.436
-0.285,0.768,0.44
-0.282,0.766,0.444
-0.279,0.764,0.448
-0.276,0.762,0.452
-0.273,0.76,0.456
-0.27,0.758,0.46
-0.267,0.756,0.464
-0.264,0.754,0.468
-0.261,0.752,0.472
-0.258,0.75,0.476
-0.255,0.748,0.48
-0.252,0.746,0.484
-0.249,0.744,0.488
-0.246,0.742,0.492
-0.243,0.74,0.496
-0.24,0.738,0.5
-0.237,0.736,0.504
-0.234,0.734,0.508
-0.231,0.732,0.512
-0.228,0.73,0.516
-0.225,0.728,0.52
-0.222,0.726,0.524
-0.219,0.724,0.528
-0.216,0.722,0.532
-0.213,0.72,0.536
-0.21,0.718,0.54
-0.207,0.716,0.544
-0.204,0.714,0.548
-0.201,0.712,0.552
-0.198,0.71,0.556
-0.195,0.708,0.56
-0.192,0.706,0.564
-0.189,0.704,0.568
-0.186,0.702,0.572
-0.183,0.7,0.576
-0.18,0.698,0.58
-0.177,0.696,0.584
-0.174,0.694,0.588
-0.171,0.692,0.592
-0.168,0.69,0.596
-0.165,0.688,0.6
-0.162,0.686,0.604
-0.159,0.684,0.608
-0.156,0.682,0.612
-0.153,0.68,0.616
-0.15,0.678,0.62
-0.147,0.676,0.624
-0.144,0.674,0.628
-0.141,0.672,0.632
-0.138,0.67,0.636
-0.135,0.668,0.64
-0.132,0.666,0.644
-0.129,0.664,0.648
-0.126,0.662,0.652
-0.123,0.66,0.656
-0.12,0.658,0.66
-0.117,0.656,0.664
-0.114,0.654,0.668
-0.111,0.652,0.672
-0.108,0.65,0.676
-0.105,0.648,0.68
-0.102,0.646,0.684
-0.099,0.644,0.688
-0.096,0.642,0.692
-0.093,0.64,0.696
-0.09,0.638,0.7
-0.087,0.636,0.704
-0.084,0.634,0.708
-0.081,0.632,0.712
-0.078,0.63,0.716
-0.075,0.628,0.72
-0.072,0.626,0.724
-0.069,0.624,0.728
-0.066,0.622,0.732
-0.063,0.62,0.736
-0.06,0.618,0.74
-0.057,0.616,0.744
-0.054,0.614,0.748
-0.051,0.612,0.752
-0.048,0.61,0.756
-0.045,0.608,0.76
-0.042,0.606,0.764
-0.039,0.604,0.768
-0.036,0.602,0.772
-0.033,0.6,0.776
-0.03,0.598,0.78
-0.027,0.596,0.784
-0.024,0.594,0.788
-0.021,0.592,0.792
-0.018,0.59,0.796
-0.015,0.588,0.8
-0.012,0.586,0.804
-0.009,0.584,0.808
-0.006,0.582,0.812
-0.003,0.58,0.816
4.08527E-16,0.578,0.82
0.003,0.576,0.824
0.006,0.574,0.828
0.009,0.572,0.832
0.012,0.57,0.836
0.015,0.568,0.84
0.018,0.566,0.844
0.021,0.564,0.848
0.024,0.562,0.852
0.027,0.56,0.856
0.03,0.558,0.86
0.033,0.556,0.864
0.036,0.554,0.868
0.039,0.552,0.872
0.042,0.55,0.876
0.045,0.548,0.88
0.048,0.546,0.884
0.051,0.544,0.888
0.054,0.542,0.892
0.057,0.54,0.896
0.06,0.538,0.9
0.063,0.536,0.904
0.066,0.534,0.908
0.069,0.532,0.912
0.072,0.53,0.916
0.075,0.528,0.92
0.078,0.526,0.924
0.081,0.524,0.928
0.084,0.522,0.932
0.087,0.52,0.936
0.09,0.518,0.94
0.093,0.516,0.944
0.096,0.514,0.948
0.099,0.512,0.952
0.102,0.51,0.956
0.105,0.508,0.96
0.108,0.506,0.964
0.111,0.504,0.968
0.114,0.502,0.972
0.117,0.5,0.976
0.12,0.498,0.98
0.123,0.496,0.984
0.126,0.494,0.988
0.129,0.492,0.992
0.132,0.49,0.996
0.135,0.488,1
0.138,0.486,1.004
0.141,0.484,1.008
0.144,0.482,1.012
0.147,0.48,1.016
0.15,0.478,1.02
0.153,0.476,1.024
0.156,0.474,1.028
0.159,0.472,1.032
0.162,0.47,1.036
0.165,0.468,1.04
0.168,0.466,1.044
0.171,0.464,1.048
0.174,0.462,1.052
0.177,0.46,1.056
0.18,0.458,1.06
0.183,0.456,1.064
0.186,0.454,1.068
0.189,0.452,1.072
0.192,0.45,1.076
0.195,0.448,1.08
0.198,0.446,1.084
0.201,0.444,1.088
0.204,0.442,1.092
0.207,0.44,1.096
0.21,0.438,1.1
0.213,0.436,1.104
0.216,0.434,1.108
0.219,0.432,1.112
0.222,0.43,1.116
0.225,0.428,1.12
0.228,0.426,1.124
0.231,0.424,1.128
0.234,0.422,1.132
0.237,0.42,1.136
0.24,0.418,1.14
0.243,0.416,1.144
0.246,0.414,1.148
0.249,0.412,1.152
0.252,0.41,1.156
0.255,0.408,1.16
0.258,0.406,1.164
0.261,0.404,1.168
0.264,0.402,1.172
0.267,0.4,1.176
0.27,0.398,1.18
0.273,0.396,1.184
0.276,0.394,1.188
0.279,0.392,1.192
0.282,0.39,1.196
0.285,0.388,1.2
0.288,0.386,1.204
0.291,0.384,1.208
0.294,0.382,1.212
0.297,0.38,1.216
0.3,0.378,1.22
0.303,0.376,1.224
0.306,0.374,1.228
0.309,0.372,1.232
0.312,0.37,1.236
0.315,0.368,1.24
0.318,0.366,1.244
0.321,0.364,1.248
0.324,0.362,1.252
0.327,0.36,1.256
0.33,0.358,1.26
0.333,0.356,1.264
0.336,0.354,1.268
0.339,0.352,1.272
0.342,0.35,1.276
0.345,0.348,1.28
0.348,0.346,1.284
0.351,0.344,1.288
0.354,0.342,1.292
0.357,0.34,1.296
0.36,0.338,1.3
0.363,0.336,1.304
0.366,0.334,1.308
0.369,0.332,1.312
0.372,0.33,1.316
0.375,0.328,1.32
0.378,0.326,1.324
0.381,0.324,1.328
0.384,0.322,1.332
0.387,0.32,1.336
0.39,0.318,1.34
0.393,0.316,1.344
0.396,0.314,1.348
0.399,0.312,1.352
0.402,0.31,1.356
0.405,0.308,1.36
0.408,0.306,1.364
0.411,0.304,1.368
0.414,0.302,1.372
0.417,0.3,1.376
0.42,0.298,1.38
0.423,0.296,1.384
0.426,0.294,1.388
0.429,0.292,1.392
0.432,0.29,1.396
0.435,0.288,1.4
0.438,0.286,1.404
0.441,0.284,1.408
0.444,0.282,1.412
0.447,0.28,1.416
0.45,0.278,1.42
0.453,0.276,1.424
0.456,0.274,1.428
0.459,0.272,1.432
0.462,0.27,1.436
0.465,0.268,1.44
0.468,0.266,1.444
0.471,0.264,1.448
0.474,0.262,1.452
0.477,0.26,1.456
0.48,0.258,1.46
0.483,0.256,1.464
0.486,0.254,1.468
0.489,0.252,1.472
0.492,0.25,1.476
0.495,0.248,1.48
0.498,0.246,1.484
0.501,0.244,1.488
0.504,0.242,1.492
0.507,0.24,1.496
0.51,0.238,1.5
0.513,0.236,1.504
0.516,0.234,1.508
0.519,0.232,1.512
0.522,0.23,1.516
0.525,0.228,1.52
0.528,0.226,1.524
0.531,0.224,1.528
0.534,0.222,1.532
0.537,0.22,1.536
0.54,0.218,1.54
0.543,0.216,1.544
0.546,0.214,1.548
0.549,0.212,1.552
0.552,0.21,1.556
0.555,0.208,1.56
0.558,0.206,1.564
0.561,0.204,1.568
0.564,0.202,1.572
0.567,0.2,1.576
0.57,0.198,1.58
0.573,0.196,1.584
0.576,0.194,1.588
0.579,0.192,1.592
0.582,0.19,1.596
0.585,0.188,1.6
0.588,0.186,1.604
0.591,0.184,1.608
0.594,0.182,1.612
0.597,0.18,1.616
0.6,0.178,1.62
0.603,0.176,1.624
0.606,0.174,1.628
0.609,0.172,1.632
0.612,0.17,1.636
0.615,0.168,1.64
0.618,0.166,1.644
0.621,0.164,1.648
0.624,0.162,1.652
0.627,0.16,1.656
0.63,0.158,1.66
0.633,0.156,1.664
0.636,0.154,1.668
0.639,0.152,1.672
0.642,0.15,1.676
0.645,0.148,1.68
0.648,0.146,1.684
0.651,0.144,1.688
0.654,0.142,1.692
0.657,0.14,1.696
0.66,0.138,1.7
0.663,0.136,1.704
0.666,0.134,1.708
0.669,0.132,1.712
0.672,0.13,1.716
0.675,0.128,1.72
0.678,0.126,1.724
0.681,0.124,1.728
0.684,0.122,1.732
0.687,0.12,1.736
0.69,0.118,1.74
0.693,0.116,1.744
0.696,0.114,1.748
0.699,0.112,1.752
0.702,0.11,1.756
0.705,0.108,1.76
0.708,0.106,1.764
0.711,0.104,1.768
0.714,0.102,1.772
0.717,0.1,1.776
0.72,0.098,1.78
0.723,0.096,1.784
0.726,0.094,1.788
0.729,0.092,1.792
0.732,0.09,1.796
0.735,0.088,1.8
0.738,0.086,1.804
0.741,0.084,1.808
0.744,0.082,1.812
0.747,0.08,1.816
0.75,0.078,1.82
0.753,0.076,1.824
0.756,0.074,1.828
0.759,0.072,1.832
0.762,0.07,1.836
0.765,0.068,1.84
0.768,0.066,1.844
0.771,0.064,1.848
0.774,0.062,1.852
0.777,0.06,1.856
0.78,0.058,1.86
0.783,0.056,1.864
0.786,0.054,1.868
0.789,0.052,1.872
0.792,0.05,1.876
0.795,0.048,1.88
0.798,0.046,1.884
0.801,0.044,1.888
0.804,0.042,1.892
0.807,0.04,1.896
0.81,0.038,1.9
0.813,0.036,1.904
0.816,0.034,1.908
0.819,0.032,1.912
0.822,0.03,1.916
0.825,0.028,1.92
0.828,0.026,1.924
0.831,0.024,1.928
0.834,0.022,1.932
0.837,0.02,1.936
0.84,0.018,1.94
0.843,0.016,1.944
0.846,0.014,1.948
0.849,0.012,1.952
0.852,0.01,1.956
0.855,0.008,1.96
0.858,0.006,1.964
0.861,0.004,1.968
0.864,0.002,1.972
0.867,0,1.976
0.87,-0.002,1.98
0.873,-0.004,1.984
0.876,-0.006,1.988
0.879,-0.008,1.992
0.882,-0.01,1.996
